beta,error
0.1,24.781082607999323
0.10000001,19.631738457001873
0.10000339487654081,20.00013015485881
0.10000339487668816,20.000161341860817
0.10000339487855883,20.000159100928094
0.10000339487855889,20.000124803950207
0.10000339487855889,20.000159703415445
0.1000034048765408,20.000127093834543
0.10000340487668816,20.000159842392115
0.10000340487855883,20.000159067426214
0.10000340487855888,20.000160980295185
0.10000340487855888,20.00016366317232
0.10001018133379967,20.000138987772033
0.10001019133379967,20.000134081208078
0.10003057130716851,20.000152363168194
0.1000305813071685,20.000145023605704
0.10009183267842227,20.00012108082088
0.10009184267842226,20.000161243817068
0.10027589329200574,20.00013858992935
0.10027590329200574,20.000129043176134
0.1008289048778396,20.00016386436127
0.1008289148778396,20.000150135416543
0.10249043178852021,20.000133275734427
0.10249044178852021,20.000121545246294
0.10748250323661335,20.00016287597048
0.10748251323661334,20.00014764596805
0.12248120402944097,20.000124517796856
0.12248121402944097,20.0001170420317
0.16754478339807624,20.00012618280398
0.16754479339807624,20.00013404135737
0.30293856383385964,20.000122156691106
0.30293857383385964,20.00011949933625
0.7097223964013422,20.000006253967086
0.7097224064013422,20.000127630865496
1.99999999,19.998851429034726
2.0,19.622680334312644
